O1810P36,nanE-6,nanE-6,nan,nan,2021-08-15 16:16:35
C1310R22,1.616743E-6,2341.021761E-6,6.408142599439958,8.01517992440118,2021-08-15 16:39:31
CO209P30,0.787868E-6,9711.026080E-6,7.203658841499299,8.520290839998303,2021-08-15 16:39:44
C1310R24,1.541523E-6,1739.931075E-6,6.476240618124935,7.859348248157193,2021-08-15 16:39:55
O1809P30,0.709809E-6,5827.807746E-6,14.247131529754098,16.103601555009284,2021-08-15 16:40:12
C1310R26,1.811899E-6,4755.677773E-6,6.844674368267086,8.379144836781954,2021-08-15 16:40:21
CO209P28,0.706717E-6,17388.150722E-6,7.307492377361108,8.800043275945868,2021-08-15 16:40:34
O1809P28,0.651608E-6,5295.258059E-6,14.159517418425262,15.860538333722957,2021-08-15 16:40:47
C1310R28,1.925011E-6,1766.339620E-6,6.74975026456877,8.123786449834693,2021-08-15 16:40:57
CO209P26,0.765305E-6,1112.817458E-6,8.584751248159854,10.132504451428927,2021-08-15 16:41:09
O1809P26,0.658762E-6,8427.016907E-6,14.57163367849711,16.582203983934928,2021-08-15 16:41:22
C1310R30,1.973416E-6,829.585864E-6,6.222410105992731,7.959176909808946,2021-08-15 16:41:32
CO209P24,nanE-6,nanE-6,nan,nan,2021-08-15 16:42:19
CO209P24,nanE-6,nanE-6,nan,nan,2021-08-15 16:42:19
O1809P24,0.533805E-6,2864.565677E-6,15.512055993517928,17.176604792566913,2021-08-15 16:42:32
C1310R32,2.002023E-6,2049.378120E-6,6.338049741290306,7.817945233886565,2021-08-15 16:42:42
CO209P22,0.698973E-6,4347.101073E-6,8.672292052671354,10.101042106457708,2021-08-15 16:43:32
O1809P22,0.622862E-6,3864.712117E-6,14.37230293085819,15.909526468059827,2021-08-15 16:43:48
C1310R34,1.996696E-6,685.231132E-6,6.3941352078374365,7.793460579255831,2021-08-15 16:43:59
O1809P20,0.680655E-6,5379.682747E-6,14.211332915862414,15.801360385758386,2021-08-15 16:44:12
C1310R36,2.062439E-6,3060.135613E-6,6.28128940943392,7.71666136447362,2021-08-15 16:44:21
CO209P20,0.678692E-6,5168.356652E-6,9.690789640817801,11.093036998640002,2021-08-15 16:44:49
O1809P18,0.666401E-6,4171.061445E-6,14.512138277220533,16.02950401921448,2021-08-15 16:45:01
C1310R38,2.076476E-6,925.080935E-6,6.456811306293932,7.864113806833502,2021-08-15 16:45:11
CO209P18,0.664608E-6,5934.158326E-6,8.760502010690452,10.120985799381469,2021-08-15 16:46:05
O1809P16,0.652340E-6,3757.497941E-6,14.511464628619494,16.170470185627707,2021-08-15 16:46:19
C1310R40,1.721369E-6,3726.342640E-6,6.268057818739183,7.845678445185081,2021-08-15 16:46:30
CO209P16,0.645511E-6,4159.042930E-6,9.219002768052496,10.488045438572843,2021-08-15 16:47:24
O1809P14,0.637286E-6,7065.232751E-6,15.023812487250696,16.568306723662193,2021-08-15 16:47:37
CO209P14,0.640015E-6,7016.285790E-6,8.855689756360182,10.07964659216498,2021-08-15 16:47:49
O1809P12,0.616562E-6,2954.998908E-6,14.794619188140414,16.485990396615364,2021-08-15 16:48:04
CO209P12,0.641170E-6,20094.205430E-6,9.382567612644749,11.1055342753661,2021-08-15 16:48:18
O1809P10,0.641776E-6,4301.323916E-6,14.738911200760521,15.949778279537291,2021-08-15 16:48:30
CO209P10,0.610362E-6,8770.020136E-6,9.535033713304612,10.639716908946172,2021-08-15 16:48:46
O1809P08,0.631021E-6,5055.274870E-6,12.987491193977412,14.23934471057658,2021-08-15 16:48:58
CO209P08,0.604686E-6,15497.079399E-6,8.90952180451303,10.621358152412508,2021-08-15 16:49:11
O1809P06,0.646973E-6,2843.379012E-6,13.899134423452692,15.299458627495119,2021-08-15 16:49:24
CO209R06,0.675916E-6,3854.545778E-6,13.850044782244673,14.905760369277575,2021-08-15 16:49:39
O1809R04,0.735382E-6,4949.448811E-6,13.434116740292298,15.00662612950582,2021-08-15 16:49:50
CO209R08,0.665582E-6,1699.045165E-6,14.482390363150127,16.2753109825829,2021-08-15 16:50:06
O1809R06,0.746162E-6,3107.501500E-6,14.415600620474523,16.035590921039912,2021-08-15 16:50:22
CO209R10,0.655246E-6,2978.831286E-6,14.696903213831018,16.60270975736303,2021-08-15 16:50:38
C1309P32,2.488921E-6,2417.379908E-6,6.049688442520748,7.530430985033502,2021-08-15 16:50:47
O1809R08,0.728406E-6,2819.561677E-6,10.968508123121214,12.504143653387048,2021-08-15 16:51:00
C1309P30,2.442932E-6,1245.541197E-6,6.051698060226912,7.452866456472366,2021-08-15 16:51:10
CO209R12,0.577179E-6,5536.649474E-6,15.702087712758557,17.124680561814817,2021-08-15 16:51:25
C1309P28,2.288806E-6,960.630921E-6,6.064241960564449,7.718450767684548,2021-08-15 16:51:36
O1809R10,0.632053E-6,3543.275178E-6,14.269550012209892,15.557548783456582,2021-08-15 16:51:50
C1309P26,2.304506E-6,2494.282511E-6,6.1764809884820675,7.473501249146325,2021-08-15 16:52:01
O1809R12,0.815436E-6,2124.873408E-6,12.350405879785606,13.565025030912377,2021-08-15 16:52:13
C1309P24,2.214434E-6,3399.755622E-6,6.43175360724968,8.092532694358196,2021-08-15 16:52:23
CO209R14,0.581341E-6,9590.580556E-6,15.840522436913929,17.15043473959404,2021-08-15 16:52:36
C1309P22,1.486420E-6,2611.740646E-6,5.989912033531055,7.438644904485163,2021-08-15 16:52:47
O1809R14,0.827249E-6,1074.030972E-6,13.224935722746311,14.329452220907754,2021-08-15 16:53:01
C1309P20,1.976978E-6,5367.070989E-6,6.2107375647839165,7.858234859530208,2021-08-15 16:53:12
CO209R16,0.598482E-6,3632.940420E-6,15.018264847533247,16.490997660730713,2021-08-15 16:53:26
C1309P18,1.888763E-6,6410.455233E-6,6.082268095035319,7.591244439771507,2021-08-15 16:53:38
O1809R16,0.816528E-6,2301.533702E-6,12.523578956380927,13.769525571019798,2021-08-15 16:53:51
C1309P16,1.813112E-6,3492.991840E-6,6.056571052383412,7.54561078089577,2021-08-15 16:54:02
CO209R18,0.627765E-6,3495.029440E-6,14.990125554486047,16.47172705881427,2021-08-15 16:54:18
C1309P14,1.700585E-6,7123.898619E-6,6.061237722961303,7.5688901018270105,2021-08-15 16:54:29
O1809R18,0.820345E-6,4004.248320E-6,12.923237640975211,14.076490162007229,2021-08-15 16:54:42
C1309P12,1.636633E-6,6993.706231E-6,6.072853376419781,7.582989693232585,2021-08-15 16:54:53
CO209R20,0.634292E-6,2380.174291E-6,14.616186528865496,15.923741963993825,2021-08-15 16:55:07
C1309P10,1.573051E-6,5429.613858E-6,6.064107647456597,7.871887911332469,2021-08-15 16:55:17
O1809R20,0.818592E-6,807.889570E-6,12.545360704731978,13.725815841732581,2021-08-15 16:55:31
CO209R22,0.653821E-6,8650.364502E-6,14.664415780215855,15.981735207074838,2021-08-15 16:55:44
O1809R22,0.803091E-6,2353.406877E-6,13.256649814030222,14.364513314690068,2021-08-15 16:55:58
CO209R24,0.657402E-6,11993.475501E-6,14.603934460886743,15.963154689825048,2021-08-15 16:56:11
O1809R24,0.798724E-6,2851.771934E-6,12.711083633293361,13.870635720005627,2021-08-15 16:56:26
CO209R26,0.683211E-6,2121.232079E-6,14.239993781630387,15.39067738093154,2021-08-15 16:56:40
O1809R26,0.780070E-6,1368.312996E-6,12.72236247617824,13.951214700599659,2021-08-15 16:56:52
CO209R28,0.687966E-6,13568.325449E-6,14.2772517035643,15.241473845389827,2021-08-15 16:57:07
O1809R28,0.780350E-6,4411.050260E-6,13.321055839610269,14.481585930422135,2021-08-15 16:57:18
CO209R30,0.566705E-6,6174.912660E-6,16.70140591172233,17.77512902897866,2021-08-15 16:57:35
O1809R30,0.756969E-6,1309.416736E-6,13.431941246254183,14.40325899150461,2021-08-15 16:57:47
C1309R10,1.131627E-6,5156.951223E-6,6.021917237043903,7.6516036382163035,2021-08-15 16:57:57
CO209R32,0.723076E-6,4649.922865E-6,14.534732235045611,15.56845613335603,2021-08-15 16:58:11
